Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15808.03	-15817.19	9.159368	0.129008	0.0918207	0.101072	0.105006	0.105949	0.0717713	0.117007	0.0794626	0.111555	0.159189	0.0827676	0.0813709	0.0942487	0.08947	0.0900539	0.120556	0.10484	0.117017	0.127783	0.0768792	0.0829526	0.108601	0.181049	0.013374	0.0339117	0.0308128	0.0296846	0.0193309	0.0588483	0.0307113	0.0314505	0.0276974	0.0604728	0.0631316	0.0637247	0.0193442	0.0229054	0.0541296	0.0389558	0.0438124	0.0395473	0.0404403	0.0498976	3.201614
210	-15809.14	-15817.74	8.596413	0.11556	0.112252	0.0908062	0.101961	0.0938259	0.0893252	0.131911	0.083669	0.106516	0.154681	0.0951838	0.0875865	0.0876728	0.111238	0.121953	0.145399	0.120394	0.0990312	0.127846	0.0774536	0.0888217	0.0879861	0.170861	0.0332767	0.0227999	0.0240484	0.0165887	0.0172531	0.0463747	0.0303626	0.0477434	0.0169985	0.053555	0.0319831	0.095883	0.030904	0.0352773	0.0391882	0.0183534	0.04283	0.0438837	0.0518307	0.0568405	3.257909
220	-15802.58	-15810.91	8.32785	0.146811	0.107719	0.109408	0.106374	0.113315	0.101762	0.113228	0.0792918	0.0885069	0.187381	0.0654914	0.0969104	0.0939211	0.0971089	0.101626	0.13956	0.144709	0.124353	0.120521	0.0976403	0.0866348	0.085955	0.17198	0.0292784	0.0275486	0.0261676	0.0208496	0.030004	0.0472226	0.0377772	0.0312448	0.0138543	0.0417713	0.0401412	0.0841865	0.020902	0.0267537	0.0463029	0.018188	0.0496555	0.0326097	0.0321203	0.0479803	3.284766
230	-15809.4	-15818.18	8.784732	0.107465	0.12548	0.105173	0.101357	0.105754	0.0936199	0.123583	0.069521	0.0885069	0.160039	0.0765282	0.0763212	0.0939211	0.0979644	0.129275	0.13956	0.106318	0.130628	0.107842	0.0965309	0.082839	0.0875093	0.169348	0.051255	0.023052	0.044556	0.0304032	0.0377691	0.0461927	0.0424877	0.0303115	0.0138166	0.0430155	0.0366724	0.0805203	0.0219418	0.0311771	0.0417286	0.0312928	0.0361306	0.0378307	0.0300692	0.0537723	3.239078
240	-15801.67	-15811.07	9.40696	0.11799	0.0991833	0.0945612	0.125492	0.113871	0.0698078	0.115201	0.0854066	0.108822	0.179819	0.0815167	0.0839048	0.0944244	0.0786636	0.100441	0.112283	0.13239	0.0975623	0.133017	0.0815658	0.0863201	0.0801238	0.169348	0.0399834	0.0240238	0.0271819	0.0213198	0.025809	0.0502417	0.029147	0.0299419	0.0205984	0.0592077	0.0546031	0.0767117	0.0260229	0.0240747	0.02671	0.0433814	0.0401465	0.0298119	0.0356886	0.0505341	3.176855
250	-15806.19	-15816.23	10.04249	0.106577	0.110264	0.0945612	0.0937588	0.126708	0.0805013	0.109063	0.0646584	0.118213	0.179819	0.0815167	0.0699496	0.0880359	0.0852916	0.101973	0.121838	0.127093	0.11249	0.12486	0.0751788	0.0848291	0.0994934	0.1404	0.0294854	0.0173065	0.017695	0.0322757	0.0294015	0.0565489	0.0373507	0.0388282	0.0251537	0.0344957	0.0540626	0.0681408	0.0276276	0.024443	0.0465202	0.0158124	0.0380812	0.0327989	0.0320423	0.0581576	3.113302
260	-15818.66	-15826.68	8.018993	0.128722	0.0923367	0.0970904	0.100663	0.109752	0.12302	0.11912	0.0820322	0.0886681	0.18821	0.0837871	0.0740153	0.101432	0.093081	0.127264	0.168883	0.118837	0.143082	0.133765	0.0650729	0.094104	0.0867952	0.158308	0.0330373	0.0169418	0.0123378	0.0331542	0.0542165	0.0632744	0.027671	0.0399228	0.0202452	0.0408053	0.0556524	0.0698428	0.02145	0.0239751	0.0408937	0.0113734	0.0442711	0.0469208	0.0474018	0.0342236	3.315651
270	-15810.66	-15819.62	8.96114	0.121319	0.105924	0.090192	0.088493	0.109752	0.0852594	0.12882	0.0985513	0.0940516	0.164076	0.0797191	0.0805944	0.10038	0.093081	0.121026	0.128395	0.128985	0.125095	0.113413	0.0750525	0.0895438	0.0803832	0.169276	0.036245	0.0375452	0.00655834	0.0364228	0.0319133	0.0420999	0.0270694	0.028716	0.0200192	0.0760266	0.044858	0.0632111	0.0402867	0.0258498	0.0389692	0.0154184	0.0547228	0.0450969	0.0345837	0.0444438	3.221437
280	-15804.8	-15813.81	9.010006	0.104603	0.0892206	0.0974712	0.0918682	0.112246	0.0750865	0.130999	0.0736241	0.10152	0.192437	0.0827379	0.0980808	0.11242	0.0892294	0.118871	0.130383	0.105918	0.140324	0.113413	0.0677837	0.0882419	0.084952	0.171258	0.0297453	0.0196148	0.00614493	0.0297221	0.0166248	0.0598239	0.0365827	0.0322036	0.0407837	0.0606209	0.0428756	0.0782841	0.0344026	0.03668	0.0395691	0.0222774	0.0575392	0.0314421	0.0338688	0.0350574	3.21655
290	-15800.31	-15810.29	9.982887	0.126959	0.116514	0.0963352	0.0954625	0.119896	0.0665164	0.11489	0.075146	0.0951966	0.173413	0.0806674	0.082095	0.0822218	0.0950584	0.108195	0.121726	0.145165	0.11561	0.112872	0.078195	0.0872304	0.079806	0.163745	0.0198952	0.0224522	0.00467741	0.02421	0.0211653	0.0564659	0.0299223	0.0334658	0.0283161	0.0476581	0.0370073	0.0692917	0.0256125	0.0326057	0.0341167	0.0351343	0.0442615	0.0484434	0.0340555	0.0375889	3.119262
